Dimension: 53
24 835 625
48 830 610
38 795 645
40 760 650
37 770 610
39 720 635
36 685 610
35 685 595
34 700 580
44 700 500
46 830 485
16 725 370
50 595 360
20 560 365
23 480 415
30 410 250
21 300 465
17 145 665
3 345 750
18 415 635
31 420 555
22 520 585
1 565 575
49 605 625
32 575 665
45 555 815
19 510 875
41 475 960
8 525 1000
10 650 1130
9 580 1175
29 660 180
42 95 260
7 25 230
2 25 185
52 1740 245
13 1465 200
14 1530 5
47 1170 65
26 1215 245
27 1320 315
28 1250 400
12 1220 580
51 1340 725
11 1605 620
33 1150 1160
43 875 920
25 975 580
4 945 685
6 880 660
15 845 680
5 845 655
24 835 625
