type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_user_1684481268504254	1684481268504254_1986212964997748	https://www.facebook.com/1684481268504254/posts/1986212964997748	"Maria Herrera Galindez shared Deportes365 Chile s photo to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/22089658_2008256599410749_2578729434325511401_n.png?oh=d453ff5499909cef49ec21cc2584d152&oe=5A43CBFA	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22089658_2008256599410749_2578729434325511401_n.png?oh=caa7a294a05c746e47f8976829520ac2&oe=5A859CEF	https://www.facebook.com/deportes365chile/photos/a.1816683101901434.1073741828.1816646638571747/2008256599410749/?type=3	facebook.com	2017-10-02T19:39:56+0000	1506973196	"2017-10-02 21:39:56"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1986212038331174	https://www.facebook.com/1684481268504254/posts/1986212038331174	"Maria Herrera Galindez shared Deportes365 Chile s photo to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/22089504_2008260379410371_7938979351077778509_n.jpg?oh=66b68582b0285706e7b91836ac6b9e43&oe=5A5123B9	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22089504_2008260379410371_7938979351077778509_n.jpg?oh=7c3d7f91d12097bdae38034850c760a5&oe=5A8707AC	https://www.facebook.com/deportes365chile/photos/a.1816683101901434.1073741828.1816646638571747/2008260379410371/?type=3	facebook.com	2017-10-02T19:36:22+0000	1506972982	"2017-10-02 21:36:22"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1986157558336622	https://www.facebook.com/1684481268504254/posts/1986157558336622	"Maria Herrera Galindez shared Deportes365 Chile s photo to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19145956_2008149596088116_7120373844576027319_n.jpg?oh=58e16dd5bf57bc5781443fd75b9dfee3&oe=5A8657D3	https://scontent.xx.fbcdn.net/v/t1.0-9/19145956_2008149596088116_7120373844576027319_n.jpg?oh=fee3210f592828d577a516b666cc28f5&oe=5A4DB1B8	https://www.facebook.com/deportes365chile/photos/a.1816683101901434.1073741828.1816646638571747/2008149596088116/?type=3	facebook.com	2017-10-02T16:49:34+0000	1506962974	"2017-10-02 18:49:34"	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1986126245006420	https://www.facebook.com/1684481268504254/posts/1986126245006420	"Maria Herrera Galindez shared Deportes365 Chile s photo to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/22089822_2008186479417761_2745166869905587383_n.png?oh=ec8f77d3ecca2772f0faccdd9f6bb3cf&oe=5A7B25D4	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22089822_2008186479417761_2745166869905587383_n.png?oh=cc4f0cb70b312aaf8c6686f0ce72b4ad&oe=5A4D68C1	https://www.facebook.com/deportes365chile/photos/a.1816683101901434.1073741828.1816646638571747/2008186479417761/?type=3	facebook.com	2017-10-02T15:45:15+0000	1506959115	"2017-10-02 17:45:15"	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1986120615006983	https://www.facebook.com/1684481268504254/posts/1986120615006983	"Victor Alejandro Acosta Öf̲̲̅̅ı̲̲̅̅c̲̲̅̅ı̲̲̅̅a̲̲̅̅l̲̲̅̅ ̲̲̅̅F̲̲̅̅b shared Zona Deportiva s video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22235870_271769670009357_8415212195662528512_n.jpg?oh=0c11a577519bc42c3af1b59349251e3a&oe=5A4981C9	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22235870_271769670009357_8415212195662528512_n.jpg?oh=6236d3f3afdd33a37231a5810e47dcdb&oe=5A500973	https://www.facebook.com/zonadeportivaXX/videos/271764540009870/	facebook.com	2017-10-02T15:31:03+0000	1506958263	"2017-10-02 17:31:03"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
link	post_user_1684481268504254	1684481268504254_1986117511673960	https://www.facebook.com/1684481268504254/posts/1986117511673960	"Yunier Ferrán Sánchez shared Play-Off Magazine s post to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t39.2147-6/c24.0.130.130/p130x130/21816583_1749608878681975_3797599448784175104_n.jpg?oh=50e30641847d5f08899209b26c1d9938&oe=5A4E7DF5	https://scontent.xx.fbcdn.net/v/t39.2147-6/21816583_1749608878681975_3797599448784175104_n.jpg?oh=09a32156d921a7acaf1b181d2157dc84&oe=5A7A0AE6	http://www.playoffmagazine.com/ihosvany-gallegos-desde-que-higinio-esta-su-cargo-el-beisbol-se-ha-destruido/	playoffmagazine.com	2017-10-02T15:22:37+0000	1506957757	"2017-10-02 17:22:37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1986111111674600	https://www.facebook.com/1684481268504254/posts/1986111111674600	"Reymar Josue Rodriguez Cordova shared Sporteros s video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22200620_2031804370384470_9087663650260385792_n.jpg?oh=00e041d9444d8a3ae946d96c38846944&oe=5A7F33AB	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22200620_2031804370384470_9087663650260385792_n.jpg?oh=646267970af9f4cf52db126637d06f42&oe=5A4D2589	https://www.facebook.com/Sporteros/videos/2031802957051278/	facebook.com	2017-10-02T15:04:16+0000	1506956656	"2017-10-02 17:04:16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_user_1684481268504254	1684481268504254_1986099071675804	https://www.facebook.com/1684481268504254/posts/1986099071675804	"Victor Alejandro Acosta Öf̲̲̅̅ı̲̲̅̅c̲̲̅̅ı̲̲̅̅a̲̲̅̅l̲̲̅̅ ̲̲̅̅F̲̲̅̅b shared Zona Deportiva s video to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22220405_271756690010655_6768185416962015232_n.jpg?oh=db7f94e597e0349a4e800fa91e464f8e&oe=5A502FDB	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22220405_271756690010655_6768185416962015232_n.jpg?oh=6fdb1260af7172fcd89f4e090c1e1641&oe=5A7C8F61	https://www.facebook.com/zonadeportivaXX/videos/271751843344473/	facebook.com	2017-10-02T14:49:18+0000	1506955758	"2017-10-02 16:49:18"	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1986090528343325	https://www.facebook.com/1684481268504254/posts/1986090528343325	"Eduardo L Rosario shared Sport Fans s photo to the group: DEPORTES EN VIVO."	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/22154314_347537462366122_2764173841454475466_n.jpg?oh=4a8a200de78afd589ae797cf1145ae9d&oe=5A3BABCB	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/22154314_347537462366122_2764173841454475466_n.jpg?oh=9e3f2c69ab578afaf40bc5cfb46ce4b8&oe=5A41F834	https://www.facebook.com/340147543105114/photos/a.340531979733337.1073741828.340147543105114/347537462366122/?type=3	facebook.com	2017-10-02T14:28:54+0000	1506954534	"2017-10-02 16:28:54"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_1684481268504254	1684481268504254_1986064725012572	https://www.facebook.com/1684481268504254/posts/1986064725012572	"El líder😌 del #RankingClausura ya está en el podio👤🥇de la #CarreraTipster👏👏 pero☝ falta definir una tarea #NadaFácil 😱... #CuádrupleEmpate desde el 2do hasta 5to lugar‼ #LasCartillas ya estás servidas👀 👇¿Qué opinas tú?  #Ganadores💪  ¿Quieres participar en nuestra #CarreraTipster😏? fácil!! registrate http://latingolive.net/registrate/?ref=ih3mo  únete a nuestro grupo EXCLUSIVO LatinGO Sports Internacional y demuestra #TuPotencial👊⚽🏀🏈⚾🎾🏐🏉 #LatinGOSports #LatinGOLive"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/22141215_1688469181187623_6884294461267083114_n.jpg?oh=0a9188de5dca60bf1c13dd0efa35ac51&oe=5A402F2B	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22220060_1688469181187623_6884294461267083114_o.jpg?oh=528bbc0891223738239255f1a32cf183&oe=5A42C46A	https://www.facebook.com/LatinGOLive/photos/a.1650111728356702.1073741828.1495810523786824/1688469181187623/?type=3	facebook.com	2017-10-02T13:14:48+0000	1506950088	"2017-10-02 15:14:48"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
