procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 973988   5860  17816    0    0    27     2  100   15  0  1 97  2  0	
22  0      0 973988   5860  17816    0    0     0     0   16   34  6 94  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   16   33  6 94  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   20   42 10 90  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   19   41  5 95  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   14   29  0 100  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   17   37  6 94  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   17   35  0 100  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   16   33  6 94  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   14   30  0 100  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   15   33  0 100  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   16   33  0 100  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   19   40 11 89  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   17   35  0 100  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   17   37  6 94  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   16   33 25 75  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   17   35  6 94  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   18   37  0 100  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   16   35  0 100  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   14   31  0 100  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   17   35  6 94  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 973988   5860  17816    0    0     0     0   16   33  6 94  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   21   42 10 90  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   17   35 12 88  0  0  0	
22  0      0 973988   5860  17816    0    0     0     0   17   37 12 88  0  0  0	
